event_id,customer_id,event_type,event_date,product_id,session_id
E00250,C0007,page_view,2026-07-18,P027,S178693
E00492,C0250,page_view,2026-07-30,P028,S578180
E00016,C0087,product_view,2026-07-06,P014,S454019
E00278,C0274,product_view,2026-09-03,P019,S155642
E00105,C0280,purchase,2026-06-23,P019,S319832
E00072,C0041,product_view,2026-09-15,P019,S381502
E00288,C0048,page_view,2026-07-04,P026,S656268
E00423,C0195,product_view,2026-09-10,P015,S295472
E00333,C0296,page_view,2026-09-06,P018,S884140
E00286,C0027,page_view,2026-07-13,P018,S475479
E00081,C0278,page_view,2026-06-28,P030,S150871
E00192,C0151,purchase,2026-07-11,P018,S133955
E00374,C0288,product_view,2026-08-04,P012,S331307
E00064,C0118,page_view,2026-09-07,P005,S133782
E00427,C0202,product_view,2026-07-03,P007,S819871
E00024,C0124,page_view,2026-06-30,P001,S805188
E00251,C0052,purchase,2026-07-24,P016,S152512
E00299,C0201,purchase,2026-06-27,P021,S933635
E00450,C0029,product_view,2026-08-14,P001,S447195
E00178,C0222,page_view,2026-08-07,P001,S325146
E00023,C0082,add_to_cart,2026-09-10,P008,S512344
E00365,C0231,page_view,2026-08-20,P001,S880009
E00298,C0145,add_to_cart,2026-09-01,P007,S659381
E00484,C0208,add_to_cart,2026-07-20,P010,S776320
E00342,C0134,page_view,2026-09-07,P009,S941945
E00480,C0261,page_view,2026-08-14,P019,S658624
E00082,C0212,product_view,2026-07-19,P013,S578160
E00320,C0125,page_view,2026-07-10,P014,S253999
E00433,C0055,product_view,2026-07-05,P010,S342128
E00198,C0018,page_view,2026-08-04,P002,S268720
E00127,C0188,product_view,2026-06-09,P022,S871740
E00061,C0196,page_view,2026-06-29,P027,S665497
E00455,C0271,product_view,2026-06-23,P012,S401137
E00102,C0169,purchase,2026-08-11,P011,S732512
E00209,C0086,page_view,2026-06-26,P020,S556542
E00089,C0291,product_view,2026-07-14,P002,S690882
E00364,C0137,add_to_cart,2026-03-19,P008,S715429
E00470,C0045,product_view,2026-08-13,P024,S123572
E00114,C0232,page_view,2026-07-01,P012,S214675
E00076,C0195,page_view,2026-07-20,P015,S588640
E00160,C0242,purchase,2026-07-13,P025,S942127
E00257,C0015,product_view,2026-07-31,P025,S562094
E00191,C0288,page_view,2026-08-30,P026,S496764
E00119,C0251,page_view,2026-09-07,P017,S464825
E00046,C0204,purchase,2026-09-17,P012,S109717
E00397,C0213,add_to_cart,2026-09-16,P019,S869969
E00495,C0020,product_view,2026-06-12,P013,S248989
E00256,C0214,product_view,2026-08-04,P010,S917012
E00418,C0125,page_view,2026-09-07,P026,S419939
E00319,C0170,product_view,2026-07-01,P008,S973846
E00041,C0132,page_view,2026-08-18,P009,S243941
E00097,C0221,page_view,2026-07-13,P016,S197584
E00026,C0024,page_view,2026-08-03,P014,S628750
E00369,C0018,add_to_cart,2026-07-14,P021,S385647
E00210,C0076,purchase,2026-08-03,P012,S683390
E00186,C0097,product_view,2026-09-17,P022,S194641
E00239,C0220,page_view,2026-08-05,P029,S114760
E00500,C0087,add_to_cart,2026-08-16,P015,S608307
E00322,C0146,purchase,2026-08-31,P010,S330019
E00335,C0200,add_to_cart,2026-07-07,P002,S556526
E00453,C0195,page_view,2026-09-06,P023,S828361
E00107,C0079,page_view,2026-07-09,P019,S520274
E00341,C0287,page_view,2026-04-25,P005,S523579
E00071,C0238,product_view,2026-08-21,P016,S367382
E00263,C0256,product_view,2026-08-01,P008,S532368
E00304,C0102,page_view,2026-08-22,P006,S204904
E00441,C0147,purchase,2026-09-03,P010,S586097
E00181,C0279,page_view,2026-07-21,P030,S460745
E00378,C0225,page_view,2026-07-30,P003,S426711
E00187,C0113,page_view,2026-08-27,P971,S945619
E00276,C0177,product_view,2026-04-19,P012,S668843
E00324,C0233,page_view,2026-08-27,P007,S648102
E00260,C0198,page_view,2026-09-01,P023,S630126
E00396,C0107,product_view,2026-08-06,P024,S685126
E00412,C0259,page_view,2026-07-23,P007,S699198
E00377,C0252,purchase,2026-09-08,P001,S395818
E00084,C0147,product_view,2026-08-30,P999,S212214
E00343,C0132,page_view,2026-08-04,P023,S690525
E00213,C0147,page_view,2026-07-10,P027,S738543
E00110,C0205,page_view,2026-08-24,P007,S635482
E00052,C0121,page_view,2026-06-23,P005,S907236
E00452,C0288,page_view,2026-08-14,P010,S438503
E00390,C0240,page_view,2026-07-26,P023,S410035
E00158,C0296,page_view,2026-07-11,P009,S274987
E00153,C0159,product_view,2026-07-02,P025,S900298
E00399,C0270,product_view,2026-09-08,P014,S903506
E00352,C0017,add_to_cart,2026-09-06,P011,S832162
E00465,C0200,product_view,2026-09-17,P005,S384685
E00241,C0197,add_to_cart,2026-08-15,P002,S578073
E00231,C0098,product_view,2026-06-28,P018,S475911
E00461,C0090,purchase,2026-07-01,P022,S242348
E00157,C0138,page_view,2026-07-16,P001,S166974
E00117,C0102,product_view,2026-06-23,P001,S948014
E00025,C0275,page_view,2026-08-06,P923,S900961
E00474,C0174,product_view,2026-09-08,P001,S502233
E00355,C0215,page_view,2026-09-05,P007,S703867
E00449,C0041,page_view,2026-08-26,P009,S151295
E00344,C0125,product_view,2026-09-18,P029,S605382
E00004,C0018,page_view,2026-07-11,P011,S133958
E00034,C0017,page_view,2026-09-02,P014,S533020
E00167,C0031,page_view,2026-07-17,P005,S533121
E00361,C0295,page_view,2026-07-21,P005,S912378
E00270,C0213,product_view,2026-07-26,P018,S579605
E00012,C0246,page_view,2026-04-01,P023,S177767
E00159,C0131,page_view,2026-09-16,P024,S112884
E00469,C0106,add_to_cart,2026-08-13,P012,S146168
E00217,C0138,page_view,2026-07-31,P013,S876936
E00266,C0287,product_view,2026-09-07,P018,S202170
E00292,C0152,page_view,2026-07-15,P009,S659106
E00295,C0092,add_to_cart,2026-07-31,P017,S506881
E00431,C0273,add_to_cart,2026-09-18,P006,S902616
E00216,C0252,page_view,2026-04-27,P014,S911630
E00019,C0208,page_view,2026-07-24,P001,S313933
E00434,C0119,add_to_cart,2026-07-06,P012,S591534
E00498,C0241,page_view,2026-03-12,P026,S408929
E00475,C0219,product_view,2026-07-26,P017,S746253
E00331,C0219,page_view,2026-08-17,P009,S813666
E00138,C0249,page_view,2026-07-25,P024,S117072
E00174,C0090,product_view,2026-09-09,P008,S584487
E00118,C0296,page_view,2026-09-07,P025,S375097
E00472,C0061,page_view,2026-07-18,P002,S207348
E00268,C0055,add_to_cart,2026-07-31,P003,S212157
E00168,C0191,page_view,2026-08-02,P017,S178465
E00301,C0281,product_view,2026-08-25,P012,S532699
E00317,C0177,page_view,2026-07-27,P010,S273650
E00258,C9367,product_view,2026-07-11,P011,S334865
E00011,C0294,page_view,2026-09-13,P023,S424314
E00232,C0088,page_view,2026-08-19,P025,S860413
E00309,C0040,add_to_cart,2026-07-08,P024,S323095
E00215,C0026,page_view,2026-08-14,P026,S426053
E00015,C0129,page_view,2026-07-15,P029,S197966
E00087,C0017,product_view,2026-06-24,P009,S279708
E00235,C0037,add_to_cart,2026-08-14,P002,S533174
E00370,C0070,product_view,2026-07-02,P014,S691380
E00274,C0151,product_view,2026-07-18,P007,S413433
E00208,C0265,page_view,2026-04-26,P017,S281276
E00214,C0089,product_view,2026-08-02,P010,S447596
E00285,C0083,product_view,2026-06-17,P006,S261169
E00128,C0127,page_view,2026-09-10,P029,S560398
E00457,C0255,page_view,2026-08-28,P010,S101657
E00165,,product_view,2026-09-20,P006,S451291
E00394,C9232,product_view,2026-07-10,P002,S772925
E00203,C0106,product_view,2026-08-02,P002,S593821
E00463,C0290,page_view,2026-08-10,P009,S938373
E00468,C0248,page_view,2026-07-17,P006,S809589
E00126,C0235,product_view,2026-09-07,P022,S380901
E00371,C0274,page_view,2026-08-13,P009,S483551
E00152,C0257,page_view,2026-07-05,P007,S260097
E00185,C0163,page_view,2026-07-11,P017,S690984
E00368,C0200,page_view,2026-07-16,P005,S979249
E00403,C0110,page_view,2026-04-26,P018,S516379
E00291,C0145,add_to_cart,2026-07-18,P976,S567200
E00275,C0281,product_view,2026-07-04,P017,S849086
E00279,C0103,product_view,2026-09-14,P021,S824141
E00189,C0270,product_view,2026-07-08,P029,S205939
E00360,C0286,page_view,2026-06-27,P001,S734992
E00246,C0130,product_view,2026-07-30,P012,S793805
E00389,C0249,product_view,2026-08-29,P017,S670027
E00404,,product_view,2026-09-24,P001,S106887
E00125,C0086,page_view,2026-07-15,P004,S402692
E00308,C0157,product_view,2026-09-04,P011,S664781
E00488,C0066,purchase,2026-07-12,P009,S960622
E00407,C0154,product_view,2026-07-22,P004,S281301
E00439,C0267,add_to_cart,2026-07-15,P001,S514828
E00481,C0212,purchase,2026-08-09,P003,S318353
E00485,C0047,purchase,2026-09-21,P010,S893853
E00179,C0141,product_view,2026-07-01,P024,S409440
E00289,C0288,page_view,2026-08-22,P028,S773462
E00049,C0173,page_view,2026-08-01,P014,S967161
E00170,C0168,purchase,2026-07-09,P002,S214266
E00357,C0077,product_view,2026-09-28,P007,S761286
E00248,C0145,product_view,2026-07-17,P004,S311469
E00021,C0264,page_view,2026-09-03,P008,S201514
E00091,C0289,product_view,2026-08-03,P022,S892313
E00104,C0295,add_to_cart,2026-09-07,P005,S691240
E00149,C0123,product_view,2026-09-20,P008,S478638
E00236,C0078,purchase,2026-07-25,P007,S250181
E00042,C0123,page_view,2026-09-09,P017,S533377
E00175,C0072,page_view,2026-08-05,P004,S819622
E00188,C0091,page_view,2026-06-23,P021,S248533
E00047,C0055,purchase,2026-07-20,P008,S240718
E00029,C9240,product_view,2026-07-18,P023,S246570
E00206,C0177,page_view,2026-08-03,P010,S958160
E00156,,add_to_cart,2026-08-31,P009,S489933
E00426,C0032,purchase,2026-05-25,P024,S259077
E00184,C0029,page_view,2026-08-30,P027,S284654
E00425,C0081,page_view,2026-08-22,P997,S625600
E00247,C0267,page_view,2026-07-18,P014,S853681
E00451,C0026,product_view,2026-06-25,P028,S833842
E00373,C0245,product_view,2026-07-13,P021,S491794
E00116,C0119,product_view,2026-09-18,P014,S873207
E00312,C0085,page_view,2026-03-30,P003,S253300
E00207,C0275,product_view,2026-09-17,P025,S626491
E00224,C0005,product_view,2026-08-20,P003,S737894
E00245,C9149,page_view,2026-07-27,P013,S498724
E00408,C0296,page_view,2026-07-10,P011,S500080
E00264,C9662,add_to_cart,2026-04-02,P921,S419394
E00002,C0181,purchase,2026-06-13,P011,S803787
E00388,C0178,page_view,2026-09-04,P004,S362874
E00169,C0032,page_view,2026-08-02,P028,S834764
E00478,C0133,purchase,2026-08-11,P012,S575301
E00393,C0079,page_view,2026-06-29,P011,S169918
E00419,C0012,page_view,2026-08-19,P014,S675458
E00020,C0074,purchase,2026-08-01,P018,S237118
E00001,C0152,page_view,2026-07-26,P016,S144412
E00077,C0241,page_view,2026-07-11,P004,S332022
E00255,C0245,page_view,2026-09-14,P014,S985364
E00010,C0186,add_to_cart,2026-07-20,P004,S127560
E00435,C0192,page_view,2026-09-17,P008,S528436
E00358,C0162,add_to_cart,2026-09-09,P009,S824087
E00293,,add_to_cart,2026-09-08,P014,S315565
E00037,C0176,product_view,2026-08-19,P018,S739711
E00323,C0074,product_view,2026-08-31,P020,S859364
E00356,C0052,page_view,2026-09-03,P023,S938900
E00053,C0061,product_view,2026-09-04,P026,S601410
E00491,C0185,page_view,2026-07-01,P011,S116470
E00227,C0192,page_view,2026-09-13,P015,S452618
E00055,C0042,page_view,2026-09-14,P006,S969032
E00349,C0183,product_view,2026-07-05,P002,S106945
E00221,C0016,page_view,2026-07-08,P008,S678115
E00277,C0166,product_view,2026-06-28,P023,S844618
E00074,C0171,purchase,2026-06-07,P025,S883159
E00056,C0259,page_view,2026-09-07,P003,S813341
E00311,C0149,page_view,2026-06-29,P002,S350484
E00314,C0266,purchase,2026-09-16,P008,S780027
E00202,C0028,add_to_cart,2026-07-22,P005,S309374
E00103,C0103,purchase,2026-06-25,P007,S763646
E00252,C0090,add_to_cart,2026-09-07,P021,S199613
E00036,C0107,product_view,2026-08-30,P029,S581992
E00448,C0256,page_view,2026-07-23,P008,S575779
E00092,C0041,page_view,2026-09-12,P028,S457137
E00437,C0225,add_to_cart,2026-07-29,P006,S524533
E00133,C0128,add_to_cart,2026-07-21,P004,S249077
E00031,C0251,page_view,2026-07-30,P001,S712056
E00171,C0085,product_view,2026-05-27,P002,S573869
E00199,C0281,product_view,2026-07-22,P029,S838726
E00411,C0258,product_view,2026-07-26,P011,S889410
E00032,C0014,add_to_cart,2026-07-10,P011,S338596
E00330,C0267,page_view,2026-07-31,P993,S479867
E00038,C0127,add_to_cart,2026-06-25,P005,S839233
E00083,C0248,product_view,2026-07-16,P009,S857273
E00487,C0156,purchase,2026-07-05,P026,S635218
E00166,,page_view,2026-08-22,P021,S540208
E00219,C0269,add_to_cart,2026-09-14,P004,S361609
E00142,C0068,page_view,2026-09-06,P008,S542828
E00233,C0094,page_view,2026-08-13,P024,S540897
E00328,C0180,product_view,2026-08-20,P018,S600318
E00039,C0246,page_view,2026-07-14,P026,S498138
E00240,C0272,product_view,2026-08-08,P018,S427252
E00151,C0035,page_view,2026-08-02,P937,S631219
E00493,C0218,product_view,2026-08-07,P007,S336706
E00340,C0208,product_view,2026-07-13,P012,S398313
E00057,C0299,add_to_cart,2026-07-18,P027,S535604
E00095,C0038,add_to_cart,2026-08-03,P012,S432061
E00290,C0125,page_view,2026-09-07,P015,S504620
E00332,C0105,page_view,2026-07-22,P022,S366105
E00405,C0114,add_to_cart,2026-07-18,P012,S683347
E00193,C0163,product_view,2026-07-20,P028,S247475
E00067,C0149,product_view,2026-08-11,P026,S348411
E00483,C0294,product_view,2026-07-27,P010,S284731
E00045,C0274,purchase,2026-08-30,P019,S138105
E00062,C0179,product_view,2026-08-24,P029,S975373
E00063,,product_view,2026-07-29,P948,S657772
E00471,C0160,page_view,2026-08-12,P004,S910326
E00307,C0224,product_view,2026-07-24,P011,S566991
E00112,C0078,page_view,2026-09-11,P002,S221707
E00337,C0147,product_view,2026-08-27,P014,S991884
E00459,C0287,page_view,2026-09-13,P011,S422722
E00030,C0164,add_to_cart,2026-07-19,P030,S968524
E00048,C0240,page_view,2026-08-20,P021,S853504
E00318,C0264,page_view,2026-09-06,P003,S793223
E00013,C0265,add_to_cart,2026-07-19,P025,S158104
E00018,C0293,add_to_cart,2026-07-01,P016,S416768
E00099,C0087,page_view,2026-09-13,P005,S275329
E00129,C0061,product_view,2026-06-23,P012,S739905
E00146,C0072,page_view,2026-09-04,P016,S359822
E00113,C0073,product_view,2026-09-09,P004,S559450
E00180,C0282,page_view,2026-07-16,P007,S361250
E00476,C0171,add_to_cart,2026-07-24,P018,S695370
E00351,C0262,page_view,2026-07-29,P010,S601554
E00054,C0192,add_to_cart,2026-08-25,P008,S898867
E00269,C0101,page_view,2026-08-28,P027,S851606
E00392,C0123,add_to_cart,2026-06-26,P009,S621718
E00211,C0167,add_to_cart,2026-07-17,P001,S919656
E00413,C0281,page_view,2026-09-04,P009,S604283
E00035,C0211,add_to_cart,2026-09-14,P016,S840058
E00005,C0231,product_view,2026-08-02,P002,S429657
E00382,C0049,page_view,2026-05-12,P029,S266316
E00006,C0128,product_view,2026-07-12,P003,S223481
E00281,C0288,page_view,2026-08-04,P012,S506380
E00161,C0215,page_view,2026-07-10,P012,S490917
E00467,C0104,add_to_cart,2026-09-02,P001,S299451
E00354,C0096,purchase,2026-08-29,P008,S622998
E00347,C0039,page_view,2026-08-18,P006,S291663
E00173,C0168,page_view,2026-08-14,P015,S372804
E00267,C0114,add_to_cart,2026-05-16,P955,S674295
E00100,C0216,page_view,2026-07-03,P021,S619886
E00302,C0263,add_to_cart,2026-08-29,P010,S803571
E00345,C0035,product_view,2026-08-12,P020,S532459
E00464,C0182,page_view,2026-07-15,P001,S983326
E00124,C0197,page_view,2026-06-23,P008,S980690
E00384,C0112,page_view,2026-08-17,P007,S713099
E00346,C0265,page_view,2026-06-27,P015,S885161
E00237,C0093,purchase,2026-09-14,P011,S104942
E00201,C0277,page_view,2026-07-13,P004,S980651
E00300,C0192,page_view,2026-07-10,P009,S725637
E00336,C0135,product_view,2026-05-02,P001,S743789
E00131,C0087,product_view,2026-04-18,P015,S812296
E00051,C0121,page_view,2026-09-20,P006,S374258
E00137,C0220,add_to_cart,2026-07-10,P006,S236937
E00139,C0081,page_view,2026-09-05,P007,S781571
E00172,C0136,page_view,2026-07-06,P011,S142288
E00140,C0141,page_view,2026-08-31,P002,S154302
E00334,C0083,add_to_cart,2026-06-26,P006,S841122
E00313,C0248,page_view,2026-08-23,P008,S144887
E00222,C0084,page_view,2026-09-15,P012,S270820
E00182,C0258,page_view,2026-08-17,P001,S161437
E00446,C0023,page_view,2026-09-15,P025,S539963
E00424,C0235,page_view,2026-08-10,P013,S613731
E00050,C0168,purchase,2026-08-21,P014,S107161
E00022,C0197,add_to_cart,2026-03-22,P003,S427905
E00458,C0239,add_to_cart,2026-09-25,P004,S147702
E00415,C0221,page_view,2026-08-06,P024,S465227
E00162,C0027,purchase,2026-07-24,P019,S396020
E00348,C0098,page_view,2026-08-23,P012,S312616
E00196,,add_to_cart,2026-08-04,P014,S468292
E00230,,page_view,2026-07-09,P007,S842464
E00409,C0029,page_view,2026-08-23,P007,S883997
E00148,C0155,product_view,2026-09-15,P014,S921875
E00007,C0134,page_view,2026-07-21,P010,S309902
E00223,C0110,page_view,2026-07-18,P018,S121026
E00272,C0261,product_view,2026-08-03,P025,S789461
E00460,C0282,page_view,2026-07-11,P011,S745915
E00135,C0143,purchase,2026-09-21,P027,S911739
E00243,C0207,product_view,2026-09-19,P938,S718337
E00200,C9769,page_view,2026-08-28,P025,S529161
E00362,C0041,purchase,2026-07-02,P011,S946952
E00350,C0278,product_view,2026-07-10,P021,S388078
E00195,C0172,product_view,2026-09-08,P004,S855408
E00120,C0235,purchase,2026-06-27,P021,S240454
E00273,C0165,purchase,2026-08-17,P010,S517196
E00454,C0169,page_view,2026-07-10,P012,S865175
E00383,C0022,page_view,2026-08-27,P002,S477934
E00456,C0163,page_view,2026-07-11,P017,S620509
E00155,C0029,page_view,2026-09-04,P018,S835575
E00244,C0064,page_view,2026-07-15,P013,S753404
E00205,C9550,product_view,2026-06-24,P005,S799891
E00238,C0108,product_view,2026-09-10,P003,S235691
E00445,C0186,add_to_cart,2026-09-01,P018,S497073
E00027,C0282,product_view,2026-09-09,P030,S513037
E00060,C9518,purchase,2026-07-30,P011,S492650
E00420,C0073,product_view,2026-09-16,P016,S367865
E00387,C0183,page_view,2026-07-12,P013,S926867
E00136,C0048,product_view,2026-07-15,P011,S517035
E00329,C0043,page_view,2026-09-21,P027,S706063
E00028,C0174,page_view,2026-07-19,P003,S142210
E00177,C0048,page_view,2026-06-16,P021,S276149
E00432,C0212,purchase,2026-08-17,P012,S259338
E00376,C0138,page_view,2026-07-25,P020,S747736
E00296,C0208,page_view,2026-07-04,P011,S166309
E00108,C0215,product_view,2026-07-07,P021,S769180
E00086,C0208,page_view,2026-09-11,P012,S785491
E00327,C0221,product_view,2026-07-22,P001,S927909
E00372,C0080,page_view,2026-09-20,P003,S821179
E00226,C0239,page_view,2026-07-18,P010,S794530
E00339,C0185,page_view,2026-08-01,P003,S470281
E00122,C0217,purchase,2026-05-31,P018,S681868
E00197,C0052,product_view,2026-09-01,P023,S573209
E00395,C0251,page_view,2026-09-12,P015,S113721
E00212,C0213,add_to_cart,2026-06-09,P017,S690016
E00386,C0046,product_view,2026-03-17,P011,S755498
E00254,C0138,page_view,2026-07-25,P006,S385037
E00429,C0071,add_to_cart,2026-06-23,P014,S649249
E00079,C0126,page_view,2026-07-21,P018,S858705
E00421,C0146,page_view,2026-09-20,P015,S169832
E00305,C0036,page_view,2026-06-25,P008,S712546
E00075,C0246,page_view,2026-07-13,P018,S437237
E00044,C0244,page_view,2026-09-10,P005,S783984
E00176,C0044,page_view,2026-07-01,P002,S564971
E00017,C0289,page_view,2026-07-10,P019,S377511
E00442,C0232,add_to_cart,2026-03-25,P003,S672949
E00271,C0259,product_view,2026-07-28,P009,S979562
E00410,C0006,page_view,2026-07-14,P013,S692354
E00093,C0204,page_view,2026-09-25,P011,S339220
E00249,C0210,purchase,2026-07-22,P008,S446663
E00121,C0123,page_view,2026-07-07,P012,S244564
E00359,C0111,page_view,2026-08-19,P011,S478496
E00401,C0173,page_view,2026-08-12,P010,S676802
E00134,C0138,product_view,2026-09-10,P002,S522419
E00482,C0221,product_view,2026-06-29,P006,S802131
E00414,C0250,product_view,2026-08-21,P017,S354085
E00190,C0166,add_to_cart,2026-03-31,P007,S432695
E00229,C0124,page_view,2026-09-04,P023,S856320
E00338,C0266,product_view,2026-07-05,P010,S277715
E00078,C0009,page_view,2026-08-23,P027,S498290
E00379,C0256,page_view,2026-09-03,P001,S158760
E00303,C0028,product_view,2026-06-28,P027,S170634
E00466,C0255,page_view,2026-09-07,P005,S492393
E00090,C0092,product_view,2026-08-02,P004,S180674
E00310,C0283,product_view,2026-08-02,P027,S334153
E00058,C0030,product_view,2026-09-21,P015,S882032
E00380,C0201,add_to_cart,2026-08-04,P004,S968485
E00008,C0038,purchase,2026-08-12,P027,S800280
E00132,C0070,purchase,2026-09-05,P019,S835499
E00440,C0021,purchase,2026-07-27,P011,S517375
E00141,C0157,product_view,2026-09-21,P022,S323788
E00144,C0069,product_view,2026-06-30,P013,S272088
E00316,C0188,product_view,2026-08-24,P024,S641455
E00068,C0074,page_view,2026-07-08,P007,S870925
E00130,C0085,add_to_cart,2026-07-15,P020,S394739
E00143,C0245,add_to_cart,2026-08-05,P012,S413791
E00402,C0167,page_view,2026-07-06,P011,S352415
E00436,C0008,product_view,2026-03-18,P028,S314498
E00040,C0203,page_view,2026-09-11,P028,S463188
E00259,C0174,page_view,2026-08-21,P017,S605339
E00065,C0215,page_view,2026-07-07,P024,S135207
E00043,C0242,purchase,2026-06-02,P019,S526673
