order_id,customer_id,order_date,order_value,product_id
O00082,C0203,2026-09-06,34.00,P013
O00023,C0148,2026-08-17,88.00,P003
O00142,C0087,2026-08-19,26.00,P017
O00120,C0043,2026-05-29,190.00,P002
O00087,C0233,2026-08-23,96.00,P008
O00127,C0075,2026-09-19,87.00,P015
O00129,C0283,2026-08-06,93.00,P018
O00044,C0229,2026-05-31,108.00,P012
O00067,C0073,2026-09-05,110.00,P004
O00046,C0213,2026-09-03,34.00,P013
O00011,C0013,2026-06-02,264.00,P003
O00034,C0076,2026-07-15,176.00,P003
O00095,C0250,2026-06-29,117.00,P016
O00102,C0217,2026-09-19,108.00,P026
O00078,C0070,2026-07-12,228.00,P005
O00098,C0015,2026-08-08,192.00,P006
O00130,C0122,2026-05-26,56.00,P007
O00065,C0186,2026-07-17,76.00,P010
O00002,C0176,2026-06-12,264.00,P003
O00012,C0190,2026-06-03,102.00,P013
